Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,Technology Tool,Emerging/Trending,Technology Tool ID
ANZSCO 6,561311,,Filing or Registry Clerk,Accounting software,,31001
ANZSCO 6,561411,,Mail Clerk,Business intelligence and decision support software,,31010
ANZSCO 6,561511,,Survey Interviewer,Business intelligence and decision support software,,31010
ANZSCO 6,561511,,Survey Interviewer,Customer relationship management CRM software,,31015
ANZSCO 6,561511,,Survey Interviewer,Enterprise resource planning ERP software,,31025
ANZSCO 6,561511,,Survey Interviewer,Patient management systems and electronic health records,,31052
ANZSCO 6,561511,,Survey Interviewer,Statistical and data analysis software,,31066
ANZSCO 6,561611,,Switchboard Operator,Enterprise resource planning ERP software,,31025
ANZSCO 6,561611,,Switchboard Operator,Premise automated branch exchange (PABX) systems,,31055
ANZSCO 6,561611,,Switchboard Operator,Social media platforms,,31063
ANZSCO 6,561912,,Meter Reader,Accounting software,,31001
ANZSCO 6,561912,,Meter Reader,GPS and navigation technologies,,31032
ANZSCO 6,561912,,Meter Reader,Mapping software,,31041
ANZSCO 6,561912,,Meter Reader,Radio frequency transmitters or receivers,,31059
ANZSCO 6,591112,,Production Clerk,Enterprise resource planning ERP software,Trending,31025
ANZSCO 6,591112,,Production Clerk,Project management software,,31056
ANZSCO 6,591112,,Production Clerk,Business intelligence and decision support software,,31010
ANZSCO 6,591112,,Production Clerk,Graphics or photo imaging software,,31033
ANZSCO 6,591113,,Purchasing Officer,Enterprise resource planning ERP software,Trending,31025
ANZSCO 6,591113,,Purchasing Officer,Business intelligence and decision support software,,31010
ANZSCO 6,591113,,Purchasing Officer,Project management software,,31056
ANZSCO 6,591113,,Purchasing Officer,Accounting software,,31001
ANZSCO 6,591115,,Stock Clerk,Enterprise resource planning ERP software,Trending,31025
ANZSCO 6,591115,,Stock Clerk,Inventory management software,,31039
ANZSCO 6,591115,,Stock Clerk,Radio frequency transmitters or receivers,,31059
ANZSCO 6,591116,,Warehouse Administrator,Enterprise resource planning ERP software,,31025
ANZSCO 6,591116,,Warehouse Administrator,Inventory management software,,31039
ANZSCO 6,591116,,Warehouse Administrator,"Materials requirements planning, logistics and supply chain software",,31042
ANZSCO 6,591116,,Warehouse Administrator,Radio frequency transmitters or receivers,,31059
ANZSCO 6,591117,,Order Clerk,Enterprise resource planning ERP software,,31025
ANZSCO 6,591117,,Order Clerk,Accounting software,,31001
ANZSCO 6,591117,,Order Clerk,Business intelligence and decision support software,,31010
ANZSCO 6,591117,,Order Clerk,Document management and code versioning software,,31020
ANZSCO 6,591117,,Order Clerk,Enterprise system management software,,31026
ANZSCO 6,599311,,Debt Collector,Enterprise resource planning ERP software,,31025
ANZSCO 6,599311,,Debt Collector,Customer relationship management CRM software,,31015
ANZSCO 6,599311,,Debt Collector,Accounting software,,31001
ANZSCO 6,599311,,Debt Collector,Patient management systems and electronic health records,,31052
ANZSCO 6,599411,,Human Resource Clerk,Enterprise resource planning ERP software,,31025
ANZSCO 6,599411,,Human Resource Clerk,Project management software,,31056
ANZSCO 6,599411,,Human Resource Clerk,Business intelligence and decision support software,,31010
ANZSCO 6,599411,,Human Resource Clerk,Human resources software,,31035
ANZSCO 6,599411,,Human Resource Clerk,Social media platforms,,31063
ANZSCO 6,599511,,Customs Officer,Enterprise resource planning ERP software,,31025
ANZSCO 6,599512,,Immigration Officer,Enterprise resource planning ERP software,,31025
ANZSCO 6,599516,,Taxation Inspector,Accounting software,,31001
