Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,ANZSCO Description
ANZSCO 4,7112,,Industrial Spraypainters,Industrial Spraypainters operate spray painting equipment to paint and apply other industrial coatings to manufactured items.
ANZSCO 4,7113,,Paper and Wood Processing Machine Operators,"Paper and Wood Processing Machine Operators operate machines to manufacture paper packaging and other paper products, fibreboard stock, logs, plywood, particle board, solid laminate and similar timber products."
ANZSCO 4,7114,,Photographic Developers and Printers,"Photographic Developers and Printers edit and adjust digital images, develop photographic film, and print photographic images from digital media, negatives and positives using computer software, fully automatic equipment and by separate processes."
ANZSCO 4,7115,,Plastics and Rubber Production Machine Operators,Plastics and Rubber Production Machine Operators operate machines to manufacture and finish plastic and rubber products.
ANZSCO 4,7116,,Sewing Machinists,Sewing Machinists operate industrial sewing machines to sew and finish garments and soft furnishings such as curtains.
ANZSCO 4,7117,,Textile and Footwear Production Machine Operators,"Textile and Footwear Production Machine Operators operate machines to process raw hides and skins, raw textile fibres, and dye, weave and knit fibres for use in textile and footwear production."
ANZSCO 4,7121,,"Crane, Hoist and Lift Operators","Crane, Hoist and Lift Operators operate stationary and mobile cranes, hoists, lifts and winches to lift, move and place materials, equipment and people in areas such as building sites, factories, mines, sawmills, wharves and shipyards."
ANZSCO 4,7123,,Engineering Production Workers,"Engineering Production Workers perform a range of production process tasks to refine and treat metals and mineral ore, fire ceramics, and operate plant to produce and finish metal products such as rods, tubing and structural shapes, and moulds for casting."
ANZSCO 4,7213,,Forklift Drivers,"Forklift Drivers operate forklifts to move bulk materials, containers, crates, palletised goods, cartons and bales."
ANZSCO 4,7219,,Other Mobile Plant Operators,"This unit group covers Mobile Plant Operators not elsewhere classified. It includes Aircraft Baggage Handlers and Airline Ground Crew, Linemarkers, Paving Plant Operators, Railway Track Plant Operators, Road Roller Operators and Streetsweeper Operators."
ANZSCO 4,7311,,Automobile Drivers,Automobile Drivers drive motor cars to transport passengers to destinations.
ANZSCO 4,7312,,Bus and Coach Drivers,Bus and Coach Drivers drive buses and coaches to transport passengers over established and special routes.
ANZSCO 4,7321,,Delivery Drivers,Delivery Drivers drive vans and cars to deliver goods.
ANZSCO 4,7331,,Truck Drivers,"Truck Drivers drive heavy trucks, removal vans, tankers and tow trucks to transport bulky goods and liquids."
ANZSCO 4,7411,,Storepersons,"Storepersons receive, handle and despatch goods in stores and warehouses."
ANZSCO 4,8111,,Car Detailers,"Car Detailers wash and clean exteriors and interiors of motor vehicles, and touch up paint work, glass and upholstery to prepare them for sale or rent."
ANZSCO 4,8112,,Commercial Cleaners,"Commercial Cleaners clean offices, residential complexes, hospitals, schools, industrial work areas, industrial machines, construction sites and other commercial premises using heavy duty cleaning equipment."
ANZSCO 4,8113,,Domestic Cleaners,"Domestic Cleaners clean and tidy private dwellings such as houses, units, flats, apartments and townhouses."
ANZSCO 4,8114,,Housekeepers,"Housekeepers perform cleaning and housekeeping duties in hotels, motels and other commercial premises, and in private residences."
ANZSCO 4,8115,,Laundry Workers,"Laundry Workers sort, clean, fold, iron and package linen, clothing and other items in laundries and drycleaning establishments, and private residences."
ANZSCO 4,8116,,Other Cleaners,"Other Cleaners clean surfaces, materials and objects, such as carpets, windows, walls, swimming pools and cooling towers, using specialised cleaning equipment and chemicals."
ANZSCO 4,8211,,Building and Plumbing Labourers,"Building and Plumbing Labourers perform a variety of routine tasks associated with erecting and repairing structures and facilities, maintaining stormwater, drainage and sewerage systems, excavating earth and clearing and levelling sites, and installing and maintaining piping systems, fixtures and water regulators."
ANZSCO 4,8212,,Concreters,"Concreters pour, spread, smooth and finish concrete for structures such as floors, stairs, ramps, footpaths and bridges."
ANZSCO 4,8213,,Fencers,Fencers erect and repair fences and gates.
ANZSCO 4,8215,,Paving and Surfacing Labourers,"Paving and Surfacing Labourers perform routine tasks associated in laying bituminous and other paving materials on roads, runways, parking areas and other surfaces to be paved."
ANZSCO 4,8216,,Railway Track Workers,"Railway Track Workers lay and repair tracks for railways, tramways, quarries and mines, and install and repair signals and other equipment."
ANZSCO 4,8311,,Food and Drink Factory Workers,Food and Drink Factory Workers perform routine tasks in manufacturing food and beverages.
ANZSCO 4,8312,,"Meat Boners and Slicers, and Slaughterers","Meat Boners and Slicers, and Slaughterers trim and cut meat from bones, sides and carcasses, and slaughter livestock in abattoirs."
ANZSCO 4,8313,,"Meat, Poultry and Seafood Process Workers","Meat, Poultry and Seafood Process Workers slaughter and eviscerate poultry, and process, grade and package meat, poultry, fish and shellfish."
ANZSCO 4,8321,,Packers,"Packers weigh, wrap, seal and label chocolate, fruit, vegetables, meat, seafood and other products."
ANZSCO 4,8322,,Product Assemblers,"Product Assemblers put together components and subassemblies that go into the production of metal products, electrical and electronic equipment, jewellery and precious metal articles, and joinery products."
ANZSCO 4,8392,,Plastics and Rubber Factory Workers,Plastics and Rubber Factory Workers perform routine tasks in manufacturing plastic and rubber products.
ANZSCO 4,8394,,Timber and Wood Process Workers,"Timber and Wood Process Workers perform routine tasks in paper and pulp mills, sawmills, timber yards, and wood processing and timber products factories."
ANZSCO 4,8399,,Other Factory Process Workers,"This unit group covers Factory Process Workers not elsewhere classified. It includes Cement and Concrete Plant Workers, Chemical Plant Workers, Clay Processing Factory Workers, Fabric and Textile Factory Workers, Footwear Factory Workers, Glass Processing Workers, Hide and Skin Processing Workers and Recycling Workers."
ANZSCO 4,8422,,Crop Farm Workers,"Crop Farm Workers perform routine tasks in producing crops such as cereals, cotton, fruit (including wine grapes), grains, nuts, oilseeds, pulses, sugar cane, rice, vegetables and mushrooms."
